establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
S R K Diagnostic Centre,Medical Diagnostic Laboratory,Allopathy,"No.76, 1st Main, 2nd Cross, Badrappa Layout, Bangalore - 560094",BANGALORE,BLU04077ALMDL,08 Jan 2028,3,KPME Karnataka Portal,2026-01-19T09:49:43.833742
VP MAGNUS HOSPITAL,Hospital (Level 1A),Allopathy,"#36 VINAYAKANAGAR LAYOUT, BINNAMANGALA VILLAGE, NELAMANGALA TQ,",,BLR00010ALH1A,26 Apr 2026,3,KPME Karnataka Portal,2026-01-19T09:49:43.923607
TASMIYA AYU CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,Daugi Oni Jumma Bazar savanur,,HVR00126AYCOC,05 Mar 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.008940
ORTHODONTIC AND DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"2nd Floor, B.A.Center Point, Signal Light Junction Hampankatta, Mangalore",MANGALORE,DKA00615ALDEN,12 Dec 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.060043
Harsha Child clinic,Clinic/Polyclinic Only Consultation,Allopathy,"krishna arcade,Darbe ,Puttur",,DKA00513ALCOC,01 Aug 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.121070
happydent,Dental Lab or Clinic,Allopathy,"Times square building, 1st floor,Above KFC, Kadri, Mangalore-575002.",MANGALORE,DKA00008ALDEN,09 Oct 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.209848
Caps & Crowns Dr.Haifa Dent Care,Dental Lab or Clinic,Allopathy,"Super Mart, Marnamikatte, Mangalore",MANGALORE,DKA00199ALDEN,20 Jan 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.287907
Dr.Gillians & Dr Chetans polyclinic,Clinic/Polyclinic with Dispensary,Allopathy,"Chetana nursing home premises, Mallundur road, chikkamagaluru",CHIKKAMAGALURU,CKM00304ALCWD,09 Jul 2028,3,KPME Karnataka Portal,2026-01-19T09:49:44.331487
Susheela dentacare,Dental Lab or Clinic,Allopathy,Sara arcade Melkar,,DKA03231ALDEN,28 Nov 2030,3,KPME Karnataka Portal,2026-01-19T09:49:44.358634
Shri Sai Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"Shivaji Road, Yallur",,BLG00109HOCOC,07 Feb 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.385223
MAHAGANAPATHI DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"MAHAGANAPATHI DENTAL CLINIC SHIVAKRUPA BULDING, NELLYADY PUTTUR TQ",,DKA00170ALDEN,21 Dec 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.426315
DR T RATHNAKAR,Clinic/Polyclinic Only Consultation,Allopathy,"First Floor, Athena Hospital Complex, Falnir Road, Mangalore",MANGALORE,DKA00029ALCOC,09 Oct 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.491826
Dhanvantri Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"Dhanvantri Clinic, Near Yallalingeshwar Medical, Sedam Road, Sulepeth,",,GLB00026HOCOC,08 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.525626
Makandar Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,Behind Quba Majid Kudachi-591311,,BLG00028HOCOC,10 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.589079
Upadhye Dispensary,Clinic/Polyclinic Only Consultation,Ayurveda,"Tarihal Road, Vijay Nagar, Halaga",,BLG00011AYCOC,10 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:44.669351
SURAKSHA HOMEOPATHY HEALTHCARE,Clinic/Polyclinic Only Consultation,Homeopathy,"#91, 19TH MAIN, 60 FEET ROAD, 6TH BLOCK, KORAMANGALA",,BLU03657HOCOC,06 Sep 2027,3,KPME Karnataka Portal,2026-01-19T09:49:44.741956
Saraswati Children Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Wari Complex, Opposite Corporation Office, Lamington Road, Hubli",HUBLI,DWR00212ALCOC,01 Mar 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.828567
AIMAN CLINIC,Clinic/Polyclinic with Observation,Ayurveda,"SUBHASH CIRCLE, STATION ROAD, HAVERI",HAVERI,HVR00034AYCWO,11 Feb 2026,3,KPME Karnataka Portal,2026-01-19T09:49:44.905800
Dhatri Health Care,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Survey no. 3/2, Hagadur Colony, Near Sri Rama Temple, Immadihalli road, Whitefield",,BLU05747ALCDS,19 Oct 2028,3,KPME Karnataka Portal,2026-01-19T09:49:44.980805
CLOVE DENTAL Star Dental Centre Private Limited,Dental Lab or Clinic,Allopathy,"24, First Floor, Above Idea Showroom, S.T Bed Extension, Koramangala, Bengaluru -",BENGALURU,BLU04755ALDEN,23 May 2028,3,KPME Karnataka Portal,2026-01-19T09:49:45.042211
KOAL DIAGNOSTICS,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#3/7-5, 3RD CROSS, DR.MARIYAPPA ROAD, KORAMANGALA 2ND BLOCK, MADIWALA POST, BANGALORE-560068.",BANGALORE,BLU00636ALCDS,06 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.105033
ARVIND ENT CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO. 32, ARVIND COMPLEX, OPP TO METRO TRAIN PILLAR NO. 44, KANAKAPURA MAIN ROAD, J.P. NAGAR POST, BANGALORE 560078",BANGALORE,BLU00699ALCOC,17 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.176329
PERFECT PEARLS ORTHODONTIC AND IMPLANT CENTER,Dental Lab or Clinic,Allopathy,"#63/2,GROUND FLOOR, 18TH CROSS, MALLESHWARAM",,BLU00793ALDEN,07 Oct 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.252909
KVG AYURVEDA MEDICAL COLLEGE AND HOSPITAL,Hospital (Level 4)(Teaching),Ayurveda,"Ambate Adka, Kurunjibag, Sullia",,DKA01139AYHL4,21 Jul 2027,3,KPME Karnataka Portal,2026-01-19T09:49:45.335287
VIJAYA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,MARKET MAIN ROAD KAVITAL,,RCR00302AYCOC,16 Jun 2028,3,KPME Karnataka Portal,2026-01-19T09:49:45.403458
SHREE RAKSHA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"Zansi Laxmi Road, Tq.Alnavar, Dist.Dharwad.",DHARWAD,DWR01426HOCOC,14 Oct 2030,3,KPME Karnataka Portal,2026-01-19T09:49:45.482162
SWASTIKA HOSPITAL,Specialty / Super-Specialty Specific Hospital,Allopathy,"NEAR JAIL CIRCLE, KUVEMPU ROAD",,SMG00047ALSSH,17 May 2026,3,KPME Karnataka Portal,2026-01-19T09:49:45.555343
CLINRAD DIAGNOSTICS& RESEARCH CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#725, CMH ROAD,NEAR CMH HOSPITAL. INDIRA NAGAR, BANGALORE-560038",BANGALORE,BLU00679ALCDS,15 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.620639
ASHWINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,NEAR KSRTC DEPO NO 1 OPP MUNDEWADI HOSPITAL VISHAL NAGAR VIJAYAPUR,,BIJ00187AYCOC,02 Apr 2026,3,KPME Karnataka Portal,2026-01-19T09:49:45.673833
BALAJI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,MAIN ROAD KAVITHAL,,RCR00304AYCOC,26 Jun 2028,3,KPME Karnataka Portal,2026-01-19T09:49:45.703849
KRISHNA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.40, Ground Floor, 1st Main Road, Saraswathipuram Main Road, Nandini Layout, Bangalore",BANGALORE,BLU00668ALCOC,10 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.743445
JEEVAMRUT CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"#60, Mahasati Nilaya, 7th Cross, Sangolli Rayanna Nagar, Dharwad",DHARWAD,DWR00039AYCOC,28 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.793492
DR. REDDYS CREATIVE SMILES,Dental Lab or Clinic,Allopathy,"# 301 , 1ST ‘D CROSS , 2ND ‘C’ MAIN , 8TH BLOCK , KORAMANGALA, BANGALORE",BANGALORE,BLU13385ALDEN,15 Jan 2031,3,KPME Karnataka Portal,2026-01-19T09:49:45.858709
PRIME ORTHOPEDICS,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1309 , KANASU , 1ST FLOOR , 9TH CROSS , J.P NAGAR , 1ST PHASE , BANGALORE",BANGALORE,BLU00767ALCOC,25 Sep 2025,3,KPME Karnataka Portal,2026-01-19T09:49:45.940579
Sree Ayyappan Temple Medical Centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Temple Community Hall Complex, Pipeline Road ,Prasanth Nagar , T Dasarahalli ,Bengaluru -560057",BENGALURU,BLU12177ALCDS,14 Sep 2030,3,KPME Karnataka Portal,2026-01-19T09:49:46.023798
Wellcare Clinic,Clinic/Polyclinic with Observation,Allopathy,K.No.25.PRO.NO.152900402003400039 1st Floor Bangalore and Mysore Road,MYSORE,RMG00015ALCWO,14 Apr 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.056283
Rahi Diagnostics,Diagnostic Imaging Centre,Allopathy,"# 12-10-52/B, Kadam Factory Premises, Near Gandhi Chowk",,RCR00019ALDIC,11 Apr 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.092765
Specialist Center,Clinic/Polyclinic Only Consultation,Allopathy,"1st Floor, Hemavathi Building, Balmatta, Mangalore",MANGALORE,DKA00162ALCOC,20 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:46.176872
Jeeva Kirana Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Jeeva Kirana Clinic, 5th Main Lenin Nagar Nituvalli",,DVG00284ALCOC,30 Mar 2027,3,KPME Karnataka Portal,2026-01-19T09:49:46.222485
aadya health junction,AYUSH Therapy Centre,Ayurveda,"door no. 23, behind ramkrishna nursing college, bypass road, in front of A.I.T. girls hostel,kalyan nagar",,CKM00027AYATC,11 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:46.294656
DAVANAGERE CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,NEAR TEMPLE UCHANGI DURGA HARAPANAHALLI,,BEL00078ALCDS,10 Jan 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.378493
CHILD CARE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#58, 15TH CROSS, 1ST BLOCK, R T NAGAR, Bangalore-560032",BANGALORE,BLU01161ALCOC,20 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:46.478704
AYUSH AYURVEDIC CENTRE,Clinic/Polyclinic Only Consultation,Ayurveda,"SHESHA KRUPA GANDHINAGAR 2ND CROSS, NEAR POST OFFICE, BALLARI",BALLARI,BEL00103AYCOC,03 Feb 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.567850
SUDHENU CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"Near vandana Talkies, K.R. Puram, Opp. Sharavathi Coffee Works, Shimoga.",,SMG00056AYCOC,09 Jun 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.669870
KARTHIK DIAGNOSTIC CENTRE,Diagnostic Imaging Centre,Allopathy,"SHIVSHETTY TOWERS, BEHIND STOP AND SHOP, JAYANAGAR, SEDAM ROAD, KALABURAGI-585105",KALABURAGI,GLB00055ALDIC,30 Nov 2025,3,KPME Karnataka Portal,2026-01-19T09:49:46.765192
RENUKA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,REDDY COMPLEX MAIN ROAD SULEPETH TQ.CHINCHOLI DIST.KALABURAGI-585324,KALABURAGI,GLB00386AYCOC,15 Dec 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.859399
ACHI MEDICAL CENTER,Clinic/Polyclinic Only Consultation,Allopathy,"#133, 9TH CROSS, CHAMRAJPET, BANGALORE.",BANGALORE,BLU01564ALCOC,24 Feb 2026,3,KPME Karnataka Portal,2026-01-19T09:49:46.954527
PATIL CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,MALLADIHALLI VILLAGE HOLALKERE TALUK CHITRADURGA DIST,CHITRADURGA,CTR00079HOCOC,15 May 2026,3,KPME Karnataka Portal,2026-01-19T09:49:47.044019
DHARMA NURSING HOME,Hospital (Level 1B),Allopathy,"LIONS CLUB ROAD, SURATHKAL, MANGALORE",MANGALORE,DKA00461ALH1B,06 Jun 2026,3,KPME Karnataka Portal,2026-01-19T09:49:47.142879
SIDDAGANGA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"# 188/200/141/2, DEVIRAMMANAHALLI, GATE, OOTY MAIN ROAD, BESIDE NANDI CONVENTION HALL, NANJANGUD - 571301",,MYS00524AYCOC,01 Jun 2027,3,KPME Karnataka Portal,2026-01-19T09:49:47.226206
CHAITRA HOSPITAL,Hospital (Level 1A),Allopathy,"Y.R.Puttanna, I.H.Road, Basaveshwara Block, K.R.Nagar.",,MYS00622ALH1A,07 Jul 2027,3,KPME Karnataka Portal,2026-01-19T09:49:47.323553
DIXIT AAROGYA DHAAMA,Hospital (Level 1B),Ayurveda,"# 12, MAIN ROAD, C BLOCK 3RD STAGE VIJAYANAGAR, MYSORE-570017",MYSORE,MYS00441AYH1B,20 May 2027,3,KPME Karnataka Portal,2026-01-19T09:49:47.417999
SRI KRISHNA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,PATTANA PANCHAYAT COMPLEX SHOP NO 25 NEAR KSRTC BUS STAND MARIYAMMANAHALLI POST,,VIJ00324HOCOC,19 Jul 2029,3,KPME Karnataka Portal,2026-01-19T09:49:47.493194
Samruddhi dental speciality clinic,Dental Lab or Clinic,Allopathy,"Samruddhi dental clinic, first floor vyagra chamundeshwari building,masthikatte ,ullal",,DKA00759ALDEN,31 Mar 2027,3,KPME Karnataka Portal,2026-01-19T09:49:47.567177
SHRI RENUKA CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"New Bridge Road, Old Town, Opp. Siddaruda Mutt, Bhadravathi",,SMG00067ALCDS,25 Oct 2026,3,KPME Karnataka Portal,2026-01-19T09:49:47.653298
AROORS CLINIC AND NURSING HOME BAILUR,Hospital (Level 2),Allopathy,Aroors Clinic Nursing home Bailur Karkala taluk,,UDP00520ALHL2,13 Jan 2027,3,KPME Karnataka Portal,2026-01-19T09:49:47.728081
Smile care dental speciality clinic,Dental Lab or Clinic,Allopathy,Fernandez complex opp.rama bhajana Mandir tenka yedapadavu,,DKA02205ALDEN,22 May 2029,3,KPME Karnataka Portal,2026-01-19T09:49:47.791815
SHREE BANASHREE CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"MARUTI NAGAR, 1ST MAIN, RANEBENNUR",,HVR00239AYCWD,12 Oct 2026,3,KPME Karnataka Portal,2026-01-19T09:49:47.872916
HEALING TREE HOSPITAL,Hospital (Level 2),Allopathy,CMC NO 8 10 215/1 NEAR NEHRU STADIUM NEW HOUSING COLONY BIDAR,BIDAR,BDR00038ALHL2,25 May 2026,3,KPME Karnataka Portal,2026-01-19T09:49:47.945933
SUKSHEMAA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,DOOR 660/6 BEHIND YOGI REDDY BUILDING KALIDASA CIRCLE JAYANAGAR B BLOCK DAVANAGERE 577008,DAVANAGERE,DVG00257ALDEN,13 Feb 2027,3,KPME Karnataka Portal,2026-01-19T09:49:48.016814
Shri Banashankari Hospital,Hospital (Level 2),Allopathy,"Near Head Post Office, Guledagudda",,BGK00157ALHL2,20 Sep 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.052688
SRI ANANTHESHWARA RURAL CLINIC,Clinic/Polyclinic Only Consultation,Integrated System,MAIN ROAD NARAVI BELTHANGADY TQ DK,,DKA00445ISCOC,09 May 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.086095
Amruth Polyclinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"No. 64, 6th main Santrupthi nagar, Gowri Shankara Temple Road, J.P. Nagar 7th Phase, Kothanur Dinne Road, Bangalore",BANGALORE,BLU01882ALCDS,03 May 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.114235
anand clinical and diagnostic lab,Medical Diagnostic Laboratory,Allopathy,"behind prafull medicals, kulshekar main road",,DKA00525ALMDL,17 Aug 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.190618
Shivaleela Multispecialty Dental and Orthodontic Clinic,Dental Lab or Clinic,Allopathy,"Look Building, 14th Cross, Vidygeri, Bagalkot",,BGK00382ALDEN,08 Jun 2027,3,KPME Karnataka Portal,2026-01-19T09:49:48.293113
SREE NIDHI TRUST REHABILITATION SPIRITUAL TREATMENT,Clinic/Polyclinic Only Consultation,Allopathy,"SY NO 215/5, NEAR KEB SATION MANDUR VILLAGE BIDARALLI HOBLI, VIRGONAGAR POST, BANGALORE-560049",BIDAR,BLU01736ALCOC,31 Mar 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.340810
CAUVERY CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"TEMPLE ROAD, BELUR TALUK, HASSAN DIST.",HASSAN,HSN00087ALCOC,30 Dec 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.405196
TANVI MEDICAL CENTER,Medical Diagnostic Laboratory,Allopathy,"BHAGI ARC, NEAR 1ST RAILWAY BRIDGE, MARNAMIKATTA, MANGALORE",MANGALORE,DKA00526ALMDL,17 Aug 2026,3,KPME Karnataka Portal,2026-01-19T09:49:48.466634
2,1,1 2 3 4 5 6 7 8 9 10 ...,3,,5,4,3,KPME Karnataka Portal,2026-01-19T09:49:48.570173
3,2,1,4,,6,5,3,KPME Karnataka Portal,2026-01-19T09:49:48.630585
V.T.Health Center,Clinic/Polyclinic Only Consultation,Allopathy,"Lions Club road,Doddaballapura Taluk",,BLR00148ALCOC,03 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:52.303632
AYUSH WELLNESS CLINIC,AYUSH Therapy Centre,Yoga and Naturopathy,"OPP K.D.C.C BANK OLD POST OFFICE ROAD, KUMTA",,UKA00117YNATC,19 May 2027,4,KPME Karnataka Portal,2026-01-19T09:49:52.392956
SHREE MATERNITY AND NURSING HOME,Hospital (Level 1A),Allopathy,"SHREE MATERNITY AND NURSING HOME, SARASWATI DODAM, BEHIND VADIRAJ BHAVAN, KALABURGI",,GLB00179ALH1A,19 Mar 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.440346
JYOTHI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"1ST CROSS, NEHRU COLONY, BALLARI",BALLARI,BEL00382ALCOC,26 Sep 2027,4,KPME Karnataka Portal,2026-01-19T09:49:52.473556
ASHRAYA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"4 th cross, Sampige Road, Hassan.",HASSAN,HSN00075ALCOC,17 Oct 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.540483
VIJAYA NURSING HOME,Hospital (Level 1A),Allopathy,NEAR DEVARKONDAPPA CIRLCE,,BLU01711ALH1A,24 Mar 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.625369
NANDINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"PUJARI COMPLEX, VIDYANAGAR HALATTI, CHIKKODI-591201 TQ.CHIKKODI DT.BELAGAVI",BELAGAVI,BLG00275AYCOC,16 May 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.713982
M/s Mrudagiri Hospital Mundargi,Clinic/Polyclinic with Observation,Allopathy,A B Nagar Mundargi 582118 Dist Gadag,GADAG,GDG00046ALCWO,06 Oct 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.800494
S B DIABETIC CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,"#14-2ND FLOOR, LAHOTI ENCLAVE, STATION ROAD KALABURAGI-585102",KALABURAGI,GLB00333ALCOC,20 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.891424
AYUSH HEALTH CARE,AYUSH Therapy Centre,Ayurveda,"Dr.Kavita Chavan, Ayush Health Care, Main Road, Hunasagi, Tq-Hunasagi Dist-Yadagiri",,YDR00028AYATC,01 Feb 2026,4,KPME Karnataka Portal,2026-01-19T09:49:52.987292
VEDAMAROGYA AYURVEDA HEALTH CENTRE,AYUSH Therapy Centre,Ayurveda,3W-3-103/3 NEAR VENTURA APARTMENTS KADRI KAMBLA ROAD KADRI MANGALORE,MANGALORE,DKA00553AYATC,28 Sep 2026,4,KPME Karnataka Portal,2026-01-19T09:49:53.082419
Srinidhi Clinic,Clinic/Polyclinic with Observation,Allopathy,Jyothi Nagar Street Mulbagal,,KLR00048ALCWO,12 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:53.169104
SHREE CLINIC,Clinic/Polyclinic with Observation,Allopathy,"No.2, Bhadrappa Layout, Kodigehalli Main Road, Bengaluru - 560092",BENGALURU,BLU02251ALCWO,23 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:53.257739
NOBLE MULTISPECIALITY HOSPITALS,Hospital (Level 2),Allopathy,"No.87, Noble Residency Road, Doddakamanahalli Main Road, Central Excise Layout, B G Road Bangalore-560068",BANGALORE,BLU02191ALHL2,12 Aug 2026,4,KPME Karnataka Portal,2026-01-19T09:49:53.353803
Dr MS KHAN NOBLE MATERNITY AND GENERAL HOSPITAL,Hospital (Level 2),Allopathy,"H.NO 8-1544/64/31, BESIDE AQSA MASJID, MUSLIM SUNGH, TAJ NAGAR, RING ROAD, KALABURAGI",KALABURAGI,GLB00425ALHL2,20 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.437446
MODERN CLINIC,Clinic/Polyclinic with Dispensary,Unani,WARD NO 06 MARWADI GALLI POST ILKAL TQ HUNGUND DT BAGALKOT,,BGK00277UNCWD,16 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.519467
BHARAT CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,No12A1 WARD NO 7 ALAMPUR PETH POST ILKAL,,BGK00703AYCWD,09 Nov 2028,4,KPME Karnataka Portal,2026-01-19T09:49:53.597884
Sankalpa Hospital,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"# 12-11-76, Sath Kacheri Road, Basaveshwara Circle",,RCR00092ALHL3,24 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.680110
S.S. Memorial Shreyas Hospital,Hospital (Level 2),Allopathy,"Shanthinagar, Siddapur",,UKA00129ALHL2,24 May 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.765110
SPECIALISTS CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"VIDYA DAYINEE COMPLEX, HONNAKATTE JUNCTION ,KULAI MANGALURU",,DKA00658ALCOC,01 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.805980
Mruthyunjaya Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Chikkerur, Tq- Hirekerur",,HVR00309AYCWD,05 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.844596
RENU S SKIN AND HAIR CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.17, 2ND FLOOR, 17TH CROSS, 9TH MAIN, SECTOR-7, HSR LAYOUT, BANGALORE-560120.",BANGALORE,BLU02896ALCDS,18 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.878656
SIDDALAXMI HEALTH SERVICES,Hospital (Level 1A),Allopathy,H NO 19-6-184 SHIVANAGAR NORTH BIDAR,BIDAR,BDR00118ALH1A,16 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.914199
Sooraj Clinic Mother Care Centre,Hospital (Level 1B),Allopathy,"no 231, 1st main, 3rd phase, manjunathnagar",,BLU02964ALH1B,02 Feb 2027,4,KPME Karnataka Portal,2026-01-19T09:49:53.956987
SANJEEVINI CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,KRS AGRAHARA B M ROAD KUNIGAL TALUK TUMKUR DISTRICT 572130,,TMK00317ALCWD,27 Feb 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.026642
Dhanvanthari Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,Kamatagi,,BGK00411AYCOC,17 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.103239
Shri Basaveshwara Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,Tegginamath complex Bagalkot Road Hungund,,BGK00369HOCOC,07 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.184931
MRUTYUNJAYA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,NEAR HANUMAN TEMPLE LOKAPUR,,BGK00455AYCOC,18 Jul 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.237158
HEALTH CARE DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"148, Adishakti Building, Sambhaji Road, Khasbag, Belagavi",BELAGAVI,BLG00922ALMDL,11 Dec 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.271776
SHRI BASAVESHWAR CLINIC KENDUR,Clinic/Polyclinic Only Consultation,Ayurveda,AT KENDUR POST KUTAKANAKERI TA BADAMI DIST BAGALKOT 587201,,BGK00483AYCOC,19 Sep 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.303280
BUDIHAL CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,BUDIHAL CLINIC GADDANAKERI,,BGK00769AYCWD,24 Jun 2029,4,KPME Karnataka Portal,2026-01-19T09:49:54.342969
M/s Dharwad Blood Bank,Blood Bank,Allopathy,No- 9925/3 1st floor Sukruth building OPP to K C park Main gate P B road Dharwad,DHARWAD,DWR00822ALBLB,02 Nov 2028,4,KPME Karnataka Portal,2026-01-19T09:49:54.384898
CITY LABORATORY,Medical Diagnostic Laboratory,Allopathy,"Kn1092/09/10/11,Shop no 2,Ground Floor Maruthi Nagar, Bagalur Main Road, Sarjapura, Bangalore -562125",BANGALORE,BLU03253ALMDL,04 Apr 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.413637
Anupama Hospital,Hospital (Level 1A),Allopathy,"72/3CIIQ Road, BEL Layout, 2nd Phase, Near Karnataka Bank, Bangalore-560091",BANGALORE,BLU03205ALH1A,29 Mar 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.475794
BASAVASHREE CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"Purohit Nagar, Kalghatagi Road, Dharwad.",DHARWAD,DWR00557AYCOC,22 Oct 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.555553
SAI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"KOLACHALAM COMPOUND, OPP. OLD KSRTC BUS STAND, BALLARI",BALLARI,BEL00336ALCOC,13 Jun 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.640371
CLEVERGENE BIOCORP PVT LTD,Medical Diagnostic Laboratory,Allopathy,"617, 5TH MAIN ROAD , OMBR LAYOUT , BANASWADI, BANGALORE-560043",BANGALORE,BLU02936ALMDL,26 Jan 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.727209
kaveri memorial hospital,Hospital (Level 2),Allopathy,mahaveer road. kalasa 577124,,CKM00106ALHL2,15 May 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.806752
Shri J G Cooperative Hospital Societys Ayurvedic Medical College and Hospital,Hospital (Level 4)(Teaching),Ayurveda,"Dr. Gangadhar Nagar , Ghataprabha",,BLG00817AYHL4,04 Aug 2027,4,KPME Karnataka Portal,2026-01-19T09:49:54.901265
